Date,Pu_Id,Pu_Title,total_input,total_output,ontime_output,Hourly_AHT,AHT_Target,AHT_Ratio,Productivity,SLA
2026-03-01 00:00:00,835745,EN_Category_A_1,865,867,867,49,65,0.7538461538461538,73.46938775510205,1.0
2026-03-01 01:00:00,835745,EN_Category_A_1,848,843,843,48,65,0.7384615384615385,75.0,1.0
2026-03-01 02:00:00,835745,EN_Category_A_1,790,792,792,62,65,0.9538461538461539,58.064516129032256,1.0
2026-03-01 03:00:00,835745,EN_Category_A_1,705,706,568,57,65,0.8769230769230769,63.1578947368421,0.8
2026-03-01 04:00:00,835745,EN_Category_A_1,521,517,425,63,65,0.9692307692307692,57.142857142857146,0.82
2026-03-01 05:00:00,835745,EN_Category_A_1,295,296,296,55,65,0.8461538461538461,65.45454545454545,1.0
2026-03-01 06:00:00,835745,EN_Category_A_1,294,292,272,63,65,0.9692307692307692,57.142857142857146,0.93
2026-03-01 07:00:00,835745,EN_Category_A_1,301,298,298,56,65,0.8615384615384616,64.28571428571429,1.0
2026-03-01 08:00:00,835745,EN_Category_A_1,357,354,320,60,65,0.9230769230769231,60.0,0.9
2026-03-01 09:00:00,835745,EN_Category_A_1,297,298,298,63,65,0.9692307692307692,57.142857142857146,1.0
2026-03-01 10:00:00,835745,EN_Category_A_1,323,323,323,54,65,0.8307692307692308,66.66666666666667,1.0
2026-03-01 11:00:00,835745,EN_Category_A_1,462,466,466,54,65,0.8307692307692308,66.66666666666667,1.0
2026-03-01 12:00:00,835745,EN_Category_A_1,533,537,537,48,65,0.7384615384615385,75.0,1.0
2026-03-01 13:00:00,835745,EN_Category_A_1,521,520,464,51,65,0.7846153846153846,70.58823529411765,0.89
2026-03-01 14:00:00,835745,EN_Category_A_1,704,708,708,58,65,0.8923076923076924,62.06896551724138,1.0
2026-03-01 15:00:00,835745,EN_Category_A_1,825,827,827,55,65,0.8461538461538461,65.45454545454545,1.0
2026-03-01 16:00:00,835745,EN_Category_A_1,872,872,872,60,65,0.9230769230769231,60.0,1.0
2026-03-01 17:00:00,835745,EN_Category_A_1,914,916,916,62,65,0.9538461538461539,58.064516129032256,1.0
2026-03-01 18:00:00,835745,EN_Category_A_1,913,914,893,63,65,0.9692307692307692,57.142857142857146,0.98
2026-03-01 19:00:00,835745,EN_Category_A_1,1030,1030,937,51,65,0.7846153846153846,70.58823529411765,0.91
2026-03-01 20:00:00,835745,EN_Category_A_1,1022,1023,902,55,65,0.8461538461538461,65.45454545454545,0.88
2026-03-01 21:00:00,835745,EN_Category_A_1,1127,1127,999,51,65,0.7846153846153846,70.58823529411765,0.89
2026-03-01 22:00:00,835745,EN_Category_A_1,1224,1227,1227,58,65,0.8923076923076924,62.06896551724138,1.0
2026-03-01 23:00:00,835745,EN_Category_A_1,1009,1006,911,52,65,0.8,69.23076923076923,0.91
2026-03-01 00:00:00,843874,EN_Category_A_2,738,742,719,28,35,0.8,128.57142857142858,0.97
2026-03-01 01:00:00,843874,EN_Category_A_2,739,736,736,25,35,0.7142857142857143,144.0,1.0
2026-03-01 02:00:00,843874,EN_Category_A_2,649,652,652,31,35,0.8857142857142857,116.12903225806451,1.0
2026-03-01 03:00:00,843874,EN_Category_A_2,591,588,588,31,35,0.8857142857142857,116.12903225806451,1.0
2026-03-01 04:00:00,843874,EN_Category_A_2,454,450,401,18,35,0.5142857142857142,200.0,0.89
2026-03-01 05:00:00,843874,EN_Category_A_2,280,282,245,33,35,0.9428571428571428,109.0909090909091,0.87
2026-03-01 06:00:00,843874,EN_Category_A_2,253,252,211,27,35,0.7714285714285715,133.33333333333334,0.84
2026-03-01 07:00:00,843874,EN_Category_A_2,275,273,273,32,35,0.9142857142857143,112.5,1.0
2026-03-01 08:00:00,843874,EN_Category_A_2,336,334,293,27,35,0.7714285714285715,133.33333333333334,0.88
2026-03-01 09:00:00,843874,EN_Category_A_2,304,304,304,20,35,0.5714285714285714,180.0,1.0
2026-03-01 10:00:00,843874,EN_Category_A_2,286,285,281,22,35,0.6285714285714286,163.63636363636363,0.99
2026-03-01 11:00:00,843874,EN_Category_A_2,400,404,385,22,35,0.6285714285714286,163.63636363636363,0.95
2026-03-01 12:00:00,843874,EN_Category_A_2,468,465,465,27,35,0.7714285714285715,133.33333333333334,1.0
2026-03-01 13:00:00,843874,EN_Category_A_2,555,553,553,25,35,0.7142857142857143,144.0,1.0
2026-03-01 14:00:00,843874,EN_Category_A_2,588,586,541,24,35,0.6857142857142857,150.0,0.92
2026-03-01 15:00:00,843874,EN_Category_A_2,746,751,727,29,35,0.8285714285714286,124.13793103448276,0.97
2026-03-01 16:00:00,843874,EN_Category_A_2,764,768,645,19,35,0.5428571428571428,189.47368421052633,0.84
2026-03-01 17:00:00,843874,EN_Category_A_2,826,823,800,27,35,0.7714285714285715,133.33333333333334,0.97
2026-03-01 18:00:00,843874,EN_Category_A_2,873,871,871,27,35,0.7714285714285715,133.33333333333334,1.0
2026-03-01 19:00:00,843874,EN_Category_A_2,839,842,758,23,35,0.6571428571428571,156.52173913043478,0.9
2026-03-01 20:00:00,843874,EN_Category_A_2,935,939,828,25,35,0.7142857142857143,144.0,0.88
2026-03-01 21:00:00,843874,EN_Category_A_2,1069,1067,956,26,35,0.7428571428571429,138.46153846153845,0.9
2026-03-01 22:00:00,843874,EN_Category_A_2,1037,1041,1010,31,35,0.8857142857142857,116.12903225806451,0.97
2026-03-01 23:00:00,843874,EN_Category_A_2,914,917,828,22,35,0.6285714285714286,163.63636363636363,0.9
2026-03-01 00:00:00,543211,TR_Category_A_1,1336,1337,1337,32,45,0.7111111111111111,112.5,1.0
2026-03-01 01:00:00,543211,TR_Category_A_1,1267,1266,1266,33,45,0.7333333333333333,109.0909090909091,1.0
2026-03-01 02:00:00,543211,TR_Category_A_1,1198,1200,1063,45,45,1.0,80.0,0.89
2026-03-01 03:00:00,543211,TR_Category_A_1,1047,1043,890,41,45,0.9111111111111111,87.8048780487805,0.85
2026-03-01 04:00:00,543211,TR_Category_A_1,794,798,685,36,45,0.8,100.0,0.86
2026-03-01 05:00:00,543211,TR_Category_A_1,525,529,423,43,45,0.9555555555555556,83.72093023255815,0.8
2026-03-01 06:00:00,543211,TR_Category_A_1,491,493,493,46,45,1.0222222222222221,78.26086956521739,1.0
2026-03-01 07:00:00,543211,TR_Category_A_1,444,441,429,41,45,0.9111111111111111,87.8048780487805,0.97
2026-03-01 08:00:00,543211,TR_Category_A_1,502,501,501,39,45,0.8666666666666667,92.3076923076923,1.0
2026-03-01 09:00:00,543211,TR_Category_A_1,571,569,569,33,45,0.7333333333333333,109.0909090909091,1.0
2026-03-01 10:00:00,543211,TR_Category_A_1,550,551,522,35,45,0.7777777777777778,102.85714285714286,0.95
2026-03-01 11:00:00,543211,TR_Category_A_1,684,684,582,40,45,0.8888888888888888,90.0,0.85
2026-03-01 12:00:00,543211,TR_Category_A_1,766,764,651,32,45,0.7111111111111111,112.5,0.85
2026-03-01 13:00:00,543211,TR_Category_A_1,869,872,763,40,45,0.8888888888888888,90.0,0.88
2026-03-01 14:00:00,543211,TR_Category_A_1,1080,1083,889,39,45,0.8666666666666667,92.3076923076923,0.82
2026-03-01 15:00:00,543211,TR_Category_A_1,1264,1263,1263,44,45,0.9777777777777777,81.81818181818181,1.0
2026-03-01 16:00:00,543211,TR_Category_A_1,1343,1345,1345,45,45,1.0,80.0,1.0
2026-03-01 17:00:00,543211,TR_Category_A_1,1357,1359,1359,46,45,1.0222222222222221,78.26086956521739,1.0
2026-03-01 18:00:00,543211,TR_Category_A_1,1462,1464,1365,41,45,0.9111111111111111,87.8048780487805,0.93
2026-03-01 19:00:00,543211,TR_Category_A_1,1562,1565,1447,40,45,0.8888888888888888,90.0,0.92
2026-03-01 20:00:00,543211,TR_Category_A_1,1630,1635,1405,34,45,0.7555555555555555,105.88235294117646,0.86
2026-03-01 21:00:00,543211,TR_Category_A_1,1738,1739,1391,46,45,1.0222222222222221,78.26086956521739,0.8
2026-03-01 22:00:00,543211,TR_Category_A_1,1901,1903,1903,43,45,0.9555555555555556,83.72093023255815,1.0
